Unnamed: 0,question,numbers,equation,digit_answer,group_nums,body,ques,type,variation type,id,result
181,A new virus is released on the internet . The administrator of a department 's LAN is given number0 minutes by a manager to estimate the impact . The administrator samples number1 of the PCs connected to the LAN and finds that number2 are infected . Use a proportion to estimate the number of infected PCs if there are a total of number3 PCs connected to the LAN .,"[5,12,7,216]","[*,number3,/,number2,number1]",126,"[19,20,21,32,33,34,43,44,45,63,64,65,67,68,69]",A new virus is released on the internet . The administrator of a department 's LAN is given number0 minutes by a manager to estimate the impact . The administrator samples number1 of the PCs connected to the LAN and finds that number2 are infected .,Use a proportion to estimate the number of infected PCs if there are a total of number3 PCs connected to the LAN .,,[],555,"To estimate the number of infected PCs if there are a total of 216 PCs connected to the LAN, we can set up a proportion using the information given.

Let's define:
- x as the number of infected PCs out of the total 216 PCs connected to the LAN.

According to the administrator's sample, out of 12 PCs sampled, 7 were infected. We can set up the following proportion:

$\frac{7}{12} = \frac{x}{216}$

To solve for x, we can cross-multiply and solve for x:

$7 \cdot 216 = 12 \cdot x$

$1512 = 12x$

Dividing both sides by 12:

$\frac{1512}{12} = \frac{12x}{12}$

$x = 126$

Therefore, based on this proportion, we can estimate that there are approximately 126 infected PCs out of the total 216 PCs connected to the LAN.

####"
183,"Joan had number0 Pokemon cards , and number1 were torn . Sara bought number2 of Joan 's Pokemon cards . How many Pokemon cards does Joan have now ?","[695,6,133]","[-,number0,number2]",562,"[1,2,3,6,7,8,12,13,14,25,26,27]","Joan had number0 Pokemon cards , and number1 were torn . Sara bought number2 of Joan 's Pokemon cards .",How many Pokemon cards does Joan have now ?,,[],560,"To find out how many Pokemon cards Joan has now, we need to subtract the number of torn cards and the number of cards Sara bought from the initial number of cards Joan had.

Initial number of Pokemon cards Joan had = 695
Number of torn cards = 6
Number of cards Sara bought = 133

To find the new total, we subtract the torn cards and the cards Sara bought from the initial number:

695 - 6 - 133 = ####

Calculating this expression, we get:

695 - 6 - 133 = 556

Therefore, Joan now has 556 Pokemon cards."
185,"Gwen and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Gwen recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?","[3,5,13]","[/,+,number1,number2,number0]",6,"[12,13,14,24,25,26,30,31,32,37,38,39]","Gwen and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Gwen recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?,,[],564,"To find out how many points Gwen and her friends earned, we need to calculate the total weight of paper they recycled and then divide it by 3 to determine the number of points.

First, let's calculate the total weight of paper recycled by adding Gwen's and her friends' weights:
$5 + 13 = 18$

Now, let's divide the total weight by 3 to find the number of points earned:
$18 ÷ 3 = 6$

Therefore, Gwen and her friends earned 6 points for recycling the paper.

####6"
186,Haley was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Haley have ?,"[56,35,3]","[/,-,number0,number1,number2]",7,"[10,11,12,14,15,16,29,30,31,38,39,40]",Haley was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Haley have ?,,[],566,"Haley started with 56 seeds and planted 35 of them in the big garden. To find out how many small gardens she had, we need to determine how many seeds were left after planting in the big garden.

To find the number of seeds left, we subtract the number of seeds planted in the big garden from the total number of seeds Haley started with:

$56 - 35 = 21$

Now, we know that Haley put 3 seeds in each small garden. To find out how many small gardens she had, we divide the remaining seeds by 3:

$21 \div 3 = 7$

Therefore, Haley had 7 small gardens.

#### Answer: 7"
189,"Joan purchased a basketball game for number0 , and a racing game for number1 . How much did Joan spend on video games ?","[5,2,4,23]","[+,number0,number1]","9,43","[6,7,8,14,15,16,22,23,24]","Joan purchased a basketball game for number0 , and a racing game for number1 .",How much did Joan spend on video games ?,,[],571,"To find out how much Joan spent on video games, we need to add the cost of the basketball game and the racing game.

The cost of the basketball game is $5.
The cost of the racing game is $2.

To find the total amount spent, we can add these two amounts together:

$5 + $2 = $7

Therefore, Joan spent $7 on video games.

#### 7"
191,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?","[65,17,8]","[/,-,number0,number1,number2]",6,"[1,2,3,13,14,15,29,30,31,38,39,40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,,[],577,"To find out how many students would be in each group, we need to subtract the number of students who didn't get picked from the total number of students and then divide the result by the number of groups.

Total number of students = 65
Number of students who didn't get picked = 17
Number of groups = 8

Number of students in each group = (Total number of students - Number of students who didn't get picked) / Number of groups

Number of students in each group = (65 - 17) / 8

Calculating the numerator:
65 - 17 = 48

Calculating the final answer:
48 / 8 = ####"
193,Bobby collects number0 blocks . Bobby 's father gives Bobby number1 more . How many blocks does Bobby have ?,"[2,6]","[+,number0,number1]",8,"[1,2,3,9,10,11,16,17,18]",Bobby collects number0 blocks . Bobby 's father gives Bobby number1 more .,How many blocks does Bobby have ?,,[],580,"Bobby starts with 2 blocks. Then, his father gives him 6 more blocks. To find out how many blocks Bobby has in total, we can add the number of blocks he started with to the number of blocks his father gave him.

Starting with 2 blocks:
$2$

Adding the 6 blocks his father gave him:
$2 + 6 = 8$

Therefore, Bobby has a total of 8 blocks.

####8"
194,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,"[81,41,8]","[/,-,number0,number1,number2]",5,"[3,4,5,11,12,13,21,22,23,30,31,32]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?,,[],581,"To find the number of cages used, we need to determine the number of puppies that were not sold and then divide that number by 8 (since there are 8 puppies in each cage).

The number of puppies that were not sold can be found by subtracting the number of puppies sold from the total number of puppies:

$ 81 - 41 = 40 $

Now, we divide this number by 8 to find the number of cages used:

$ \frac{40}{8} = 5 $

Therefore, the pet store used 5 cages. 

#### Answer: 5"
198,"Haley baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?","[20,11,3]","[/,-,number0,number1,number2]",3,"[1,2,3,17,18,19,29,30,31,32,33,34]","Haley baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",how many packages could she make if she put number2 cupcake in each package ?,,[],586,"To find out how many packages Haley could make, we need to determine the number of cupcakes she has left after her brother ate 11 of them.

Haley initially baked 20 cupcakes.
Her brother ate 11 cupcakes.
Therefore, the number of cupcakes Haley has left is $20 - 11 = 9$.

Now, we need to determine how many packages Haley can make if she puts 3 cupcakes in each package.

To find the number of packages, we divide the total number of cupcakes by the number of cupcakes in each package.

The total number of cupcakes Haley has left is 9.
The number of cupcakes in each package is 3.
Therefore, the number of packages Haley can make is $9 \div 3 = 3$.

#### Answer: 3"
206,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?","[47,27,4]","[/,-,number0,number1,number2]",5,"[2,3,4,10,11,12,27,28,29,34,35,36]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?,,[],620,"To find out how many pies the cafeteria could make, we need to determine the number of apples left after handing out 27 to students. 

We can do this by subtracting 27 from the initial number of apples:

$47 - 27 = 20$

So, there are 20 apples left for making pies. 

Next, we need to divide the remaining number of apples by the number of apples required for each pie (which is 4):

$20 \div 4 = 5$

Therefore, the cafeteria could make 5 pies with the remaining apples.

#### 
5"
208,"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?","[9,4,3]","[*,number0,+,number1,number2]",63,"[2,3,4,10,11,12,13,14,15,25,26,27]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?,,[],628,"To find the total number of customers the waiter had, we need to multiply the number of tables by the number of people at each table.

Number of tables = 9
Number of women at each table = 4
Number of men at each table = 3

Total number of customers = Number of tables * (Number of women + Number of men)

Total number of customers = 9 * (4 + 3)

Calculating inside the parentheses first:
Total number of customers = 9 * 7

Now, multiplying:
Total number of customers = 63

#### The waiter had a total of 63 customers."
209,A perfect score is number0 points . How many points would you have after number1 perfect games in a row ?,"[21,3]","[*,number0,number1]",63,"[3,4,5,13,14,15,17,18,19]",A perfect score is number0 points .,How many points would you have after number1 perfect games in a row ?,,[],636,"To find the total number of points after three perfect games in a row, we need to multiply the number of points earned in one game by the number of games played.

Given that a perfect score is 21 points, each game would earn 21 points. 

To calculate the total number of points after three perfect games, we can multiply 21 by 3:

$ 21 \times 3 = 63 $

Therefore, after three perfect games in a row, you would have 63 points.

####63"
210,"Joan purchased a basketball game for number0 , and a racing game for number1 . How much did Joan spend on video games ?","[5,2,4,23]","[+,number0,number1]","9,43","[6,7,8,14,15,16,22,23,24]","Joan purchased a basketball game for number0 , and a racing game for number1 .",How much did Joan spend on video games ?,,[],638,"To find out how much Joan spent on video games, we need to add the cost of the basketball game and the racing game.

The cost of the basketball game is $5.
The cost of the racing game is $2.

To find the total amount spent, we can add these two amounts together:

$5 + $2 = $7

Therefore, Joan spent $7 on video games.

#### 7"
211,Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels . How many dimes does he have now ?,"[27,15,33,49]","[+,number1,number2]",48,"[1,2,3,4,4,5,6,7]",Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels .,How many dimes does he have now ?,,[],639,"Tom initially had 15 dimes in his bank. His dad gave him an additional 33 dimes, so the total number of dimes he has now is $15 + 33 = 48$ dimes.

####

Therefore, Tom currently has 48 dimes."
213,Adam has number0 to buy an airplane that costs number1 . How much change will he get ?,"[5,4,28]","[-,number0,number1]","0,72","[2,3,4,10,11,12,16,17,18]",Adam has number0 to buy an airplane that costs number1 .,How much change will he get ?,,[],644,"To find out how much change Adam will get, we need to subtract the cost of the airplane from the amount of money he has.

Adam has $5 and the airplane costs $4.

To calculate the change, we subtract $4 from $5:

$5 - $4 = $1

Therefore, Adam will get $1 in change.

#### 1"
214,"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left , how much money did he earn ?","[5,14,5]","[*,number0,-,number1,number0]",45,"[7,8,9,15,16,17,26,27,28,33,34,35]","A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left ,",how much money did he earn ?,,[],645,"To find out how much money the magician earned, we need to calculate the total cost of the decks he sold.

The magician started with 14 decks and ended with 5 decks left. Therefore, he sold 14 - 5 = 9 decks.

Since each deck was sold for $5, we can calculate the total earnings by multiplying the number of decks sold by the price per deck.

Total earnings = Number of decks sold * Price per deck
Total earnings = 9 * $5

Now let's calculate the total earnings:

Total earnings = 9 * $5
Total earnings = $45

Therefore, the magician earned $45. 

#### 45"
218,Lizette has number0 stamps . Lizette has number1 more stamps than Minerva . How many stamps does Minerva have ?,"[813,125]","[-,number0,number1]",688,"[1,2,3,6,7,8,16,17,18]",Lizette has number0 stamps . Lizette has number1 more stamps than Minerva .,How many stamps does Minerva have ?,,[],657,"Let's assume the number of stamps Minerva has is represented by the variable ""x"". 

According to the information given, Lizette has 125 more stamps than Minerva. So, the number of stamps Lizette has can be represented as ""x + 125"".

We also know that Lizette has a total of 813 stamps. Therefore, we can set up the equation:

x + 125 = 813

To find the value of x, we need to isolate it on one side of the equation. We can do this by subtracting 125 from both sides:

x + 125 - 125 = 813 - 125

Simplifying:

x = 688

Therefore, Minerva has 688 stamps.

####"
219,"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?","[33,31,26]","[-,+,number0,number2,number1]",28,"[2,3,4,9,10,11,16,17,18,23,24,25]","A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers ,",how many customers would he have ?,,[],658,"The waiter initially had 33 customers to wait on. 

If 31 customers left, we need to subtract 31 from the initial number of customers: $33 - 31 = 2$. 

After that, the waiter got another 26 customers. To find the total number of customers he would have, we need to add 26 to the previous result: $2 + 26 = 28$. 

Therefore, the waiter would have a total of 28 customers. 

####28"
224,"Dan joined his school 's band . He bought a clarinet for number0 , and a song book which was number1 . Dan found number2 in his pocket . How much did Dan spend at the music store ?","[130,3,11,24,12,32]","[+,number0,number1]","141,54","[12,13,14,21,22,23,26,27,28,38,39,40]","Dan joined his school 's band . He bought a clarinet for number0 , and a song book which was number1 . Dan found number2 in his pocket .",How much did Dan spend at the music store ?,,[],681,"To find out how much Dan spent at the music store, we need to add up the cost of the clarinet, the song book, and the money he found in his pocket.

The cost of the clarinet is $130.
The cost of the song book is $3.
The money Dan found in his pocket is $11.

To calculate the total amount Dan spent, we can add these three amounts together:

$130 + $3 + $11 = $144

Therefore, Dan spent $144 at the music store.

#### 144"
225,"Ryan has number0 marbles and number1 blocks . If he shares the marbles among number2 friends , how many marbles does each friend get ?","[72,17,9]","[/,number0,number2]",8,"[1,2,3,4,5,6,13,14,15,21,22,23]","Ryan has number0 marbles and number1 blocks . If he shares the marbles among number2 friends ,",how many marbles does each friend get ?,,[],682,"To find out how many marbles each friend gets, we need to divide the total number of marbles by the number of friends.

Given:
- Ryan has 72 marbles.
- He wants to share them among 9 friends.

To find the number of marbles each friend gets, we can use division:

$ \text{Number of marbles each friend gets} = \frac{\text{Total number of marbles}}{\text{Number of friends}} $

Substituting the given values:

$ \text{Number of marbles each friend gets} = \frac{72}{9} $

Now let's calculate this:

$ \text{Number of marbles each friend gets} = 8 $

#### The answer is 8."
227,"The total number of students absent from B. Jones High School on a Monday after a significant snow fall was number0 . The total attendance that day was number1 . How many students , in total , attend B. Jones High School ?","[218,1487]","[+,number0,number1]",1705,"[19,20,21,27,28,29,39,40,41]",The total number of students absent from B. Jones High School on a Monday after a significant snow fall was number0 . The total attendance that day was number1 .,"How many students , in total , attend B. Jones High School ?",,[],692,"Let's denote the total number of students attending B. Jones High School as ""x"". We are given that the total number of students absent on a Monday after a significant snowfall was 218, and the total attendance that day was 1487.

We can set up an equation to represent this information:

x - 218 = 1487

To find the value of ""x"", we need to isolate it on one side of the equation. We can do this by adding 218 to both sides:

x - 218 + 218 = 1487 + 218

Simplifying the equation gives us:

x = 1705

Therefore, the total number of students attending B. Jones High School is 1705.

####"
229,"Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?","[9,6,2]","[*,number0,+,number1,number2]",72,"[13,14,15,21,22,23,27,28,29,38,39,40]","Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,[],698,"To find the total number of books Rachel had, we need to calculate the number of books on each type of shelf and then add them together.

First, let's calculate the number of mystery books. Since Rachel had 6 shelves of mystery books and each shelf had exactly 9 books, we can multiply the number of shelves by the number of books per shelf: $6 \times 9 = 54$ mystery books.

Next, let's calculate the number of picture books. Rachel had 2 shelves of picture books, with each shelf containing 9 books. We can multiply the number of shelves by the number of books per shelf: $2 \times 9 = 18$ picture books.

Finally, to find the total number of books, we add the number of mystery books to the number of picture books: $54 + 18 = 72$.

Therefore, Rachel had a total of 72 books.

####"
230,"While playing a trivia game , George answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?","[6,4,3]","[*,number2,+,number0,number1]",30,"[7,8,9,15,16,17,28,29,30,34,35,36]","While playing a trivia game , George answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,[],699,"In the first half, George answered 6 questions correctly, and in the second half, he answered 4 questions correctly. Each question is worth 3 points.

To find his final score, we need to calculate the total number of points he earned.

In the first half, George earned 6 * 3 = 18 points.
In the second half, he earned 4 * 3 = 12 points.

To find his final score, we add the points from both halves: 18 + 12 = 30.

Therefore, George's final score is 30. 

####30"
231,"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?","[33,23,21]","[-,+,number0,number1,number2]",35,"[3,4,5,7,8,9,18,19,20,30,31,32]","The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit ,",how many extra did the cafeteria end up with ?,,[],701,"To find out how many extra apples the cafeteria ended up with, we need to subtract the number of apples the students wanted from the total number of apples ordered.

The cafeteria ordered 33 red apples and 23 green apples, so the total number of apples ordered is $33 + 23 = 56$.

However, only 21 students wanted fruit. To find out how many apples they wanted in total, we add the number of red and green apples: $33 + 23 = 56$.

To calculate the number of extra apples, we subtract the number of apples the students wanted from the total number of apples ordered: $56 - 21 = 35$.

Therefore, the cafeteria ended up with 35 extra apples.
####
35"
236,"After eating at the restaurant , Sally , Sam , and Alyssa decided to divide the bill evenly . If each person paid number0 dollars , what was the total of the bill ?",[45],"[*,number0,3.0]",135,"[22,23,24,30,31,32]","After eating at the restaurant , Sally , Sam , and Alyssa decided to divide the bill evenly . If each person paid number0 dollars ,",what was the total of the bill ?,,[],709,"Let's assume the total bill is represented by the variable $x$. Since Sally, Sam, and Alyssa decided to divide the bill evenly, each person paid $45. 

Therefore, we can set up an equation to represent this situation:

$3 \times 45 = x$

To solve for $x$, we multiply 3 by 45:

$135 = x$

So, the total bill was $135.

####135"
244,"Katie had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?","[7,3,9]","[*,number2,+,number0,number1]",90,"[1,2,3,7,8,9,17,18,19,29,30,31]","Katie had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it ,",how many problems did she have to complete total ?,,[],726,"To find the total number of problems Katie had to complete, we need to calculate the number of problems on each type of homework and then add them together.

First, let's find the number of problems on the math homework. We know that Katie had 7 pages of math homework and each page had 9 problems. So, we can multiply the number of pages by the number of problems per page: $7 \times 9 = 63$.

Next, let's find the number of problems on the reading homework. We know that Katie had 3 pages of reading homework and each page had 9 problems. So, we can multiply the number of pages by the number of problems per page: $3 \times 9 = 27$.

Finally, let's add the number of math problems and reading problems together to find the total: $63 + 27 = 90$.

Therefore, Katie had to complete a total of 90 problems.

####90"
245,"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?","[11,4,8]","[*,number2,-,number0,number1]",56,"[3,4,5,11,12,13,18,19,20,33,34,35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?,,[],729,"To find out how long it will take the builder to install the remaining windows, we need to determine how many windows are left to be installed and then calculate the total time required.

The problem states that there are 11 windows in total and the builder has already installed 4 of them. Therefore, the number of windows left to be installed is given by:

$ \text{Windows left} = \text{Total windows} - \text{Windows installed} $

$ \text{Windows left} = 11 - 4 $

$ \text{Windows left} = 7 $

Now, we know that it takes 8 hours to install each window. To find the total time required to install the remaining windows, we can multiply the number of windows left by the time taken to install each window:

$ \text{Total time} = \text{Windows left} \times \text{Time per window} $

$ \text{Total time} = 7 \times 8 $

$ \text{Total time} = 56 $

Therefore, it will take the builder 56 hours to install the rest of the windows.

#### 
56"
254,There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?,"[9,2]","[-,number0,number1]",7,"[1,2,3,15,16,17,33,34,35]",There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged .,How many oak trees will the park have when the workers are finished ?,,[],757,"To find the number of oak trees the park will have after the workers cut down 2 damaged trees, we need to subtract 2 from the current number of oak trees in the park.

Current number of oak trees = 9
Number of oak trees cut down = 2

To find the new number of oak trees, we subtract the number of trees cut down from the current number of oak trees:

New number of oak trees = Current number of oak trees - Number of oak trees cut down
New number of oak trees = 9 - 2

Performing the subtraction:

New number of oak trees = 7

Therefore, the park will have 7 oak trees when the workers are finished.

####"
260,"The next act involved several jugglers . If each juggler is juggling number0 balls at a time , how many balls are needed if there are number1 jugglers putting a show at the same time ?","[6,378]","[*,number0,number1]",2268,"[11,12,13,25,26,27,32,33,34]","The next act involved several jugglers . If each juggler is juggling number0 balls at a time ,",how many balls are needed if there are number1 jugglers putting a show at the same time ?,,[],769,"To find the total number of balls needed, we can multiply the number of jugglers by the number of balls each juggler is juggling.

Given:
Number of jugglers = 378
Number of balls each juggler is juggling = 6

To find the total number of balls needed:
Total number of balls = Number of jugglers × Number of balls each juggler is juggling

Substituting the given values:
Total number of balls = 378 × 6

Calculating:
Total number of balls = 2268

#### The total number of balls needed is 2268."
267,A candy store has number0 boxes of chocolates . Each box has number1 pieces . How many pieces are there altogether in the boxes ?,"[6,500]","[*,number0,number1]",3000,"[3,4,5,11,12,13,21,22,23]",A candy store has number0 boxes of chocolates . Each box has number1 pieces .,How many pieces are there altogether in the boxes ?,,[],784,"To find the total number of pieces in all the boxes, we need to multiply the number of boxes by the number of pieces in each box.

Number of boxes = 6
Number of pieces in each box = 500

To calculate the total number of pieces:
Total number of pieces = Number of boxes * Number of pieces in each box

Total number of pieces = 6 * 500

Calculating this multiplication:
Total number of pieces = 3000

#### The total number of pieces in all the boxes is 3000."
268,There are number0 students making number1 stars each for the school wall . How many stars will they make all together ?,"[124,3]","[*,number0,number1]",372,"[1,2,3,4,5,6,18,19,20]",There are number0 students making number1 stars each for the school wall .,How many stars will they make all together ?,,[],785,"To find the total number of stars that the students will make all together, we need to multiply the number of students by the number of stars each student makes.

Given:
Number of students = 124
Number of stars each student makes = 3

To calculate the total number of stars:
Total number of stars = Number of students × Number of stars each student makes

Substituting the given values:
Total number of stars = 124 × 3

Calculating:
Total number of stars = 372

#### 
The students will make a total of 372 stars all together."
270,number0 people are going to the zoo . There are number1 cars to take people to the zoo . How many will go in each car if the same number go in each car ?,"[63,3]","[/,number0,number1]",21,"[0,1,9,10,11,31,32,33]",number0 people are going to the zoo . There are number1 cars to take people to the zoo .,How many will go in each car if the same number go in each car ?,,[],788,"To find out how many people will go in each car, we need to divide the total number of people by the number of cars.

Total number of people = 63
Number of cars = 3

To divide 63 by 3, we can use the division operation:

$ \frac{63}{3} $

Performing the division:

$ \frac{63}{3} = 21 $

Therefore, each car will have 21 people.

#### Answer: 21"
277,"For Halloween Debby and her sister combined the candy they received . Debby had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?","[32,42,35]","[-,+,number0,number1,number2]",39,"[13,14,15,21,22,23,26,27,28,37,38,39]","For Halloween Debby and her sister combined the candy they received . Debby had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night ,",how many pieces do they have left ?,,[],797,"To find out how many pieces of candy Debby and her sister have left, we need to subtract the number of pieces they ate from the total number of pieces they had.

Debby had 32 pieces of candy, and her sister had 42 pieces. So, the total number of pieces they had is $32 + 42 = 74$.

If they ate 35 pieces the first night, we can subtract that from the total to find out how many pieces they have left: $74 - 35 = 39$.

Therefore, Debby and her sister have 39 pieces of candy left.

####39"
281,"Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were number0 ton , number1 ton , and number2 ton . How many tons of marble did Paco 's Countertop Company purchase in all ?","[0.3333333333333333,0.3333333333333333,0.08333333333333333]","[+,+,number0,number0,number2]","0,75","[19,20,21,22,23,24,26,27,28,40,41,42]","Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were number0 ton , number1 ton , and number2 ton .",How many tons of marble did Paco 's Countertop Company purchase in all ?,,[],809,"To find the total weight of marble purchased by Paco's Countertop Company, we need to add up the weights of the individual pieces.

The weights of the pieces are given as 0.3333333333333333 ton, 0.3333333333333333 ton, and 0.08333333333333333 ton.

Adding these weights together:

0.3333333333333333 + 0.3333333333333333 + 0.08333333333333333 = 0.75

Therefore, Paco's Countertop Company purchased a total of 0.75 tons of marble.

#### 0.75"
284,"There are number0 books in Oak Grove 's public library . In addition , there are number1 books in its school libraries . How many books do the libraries in Oak Grove have overall ?","[1986,5106]","[+,number0,number1]",7092,"[1,2,3,15,16,17,31,32,33]","There are number0 books in Oak Grove 's public library . In addition , there are number1 books in its school libraries .",How many books do the libraries in Oak Grove have overall ?,,[],816,"To find the total number of books in Oak Grove's libraries, we need to add the number of books in the public library to the number of books in the school libraries.

Number of books in Oak Grove's public library: 1986
Number of books in Oak Grove's school libraries: 5106

To find the total number of books, we add these two numbers together:

1986 + 5106 = ####"
286,Nancy has number0 five dollars bills . How much money does she have ?,[9],"[*,number0,5.0]",45,"[1,2,3,12,13,14]",Nancy has number0 five dollars bills .,How much money does she have ?,,[],822,"Nancy has 9 five-dollar bills. To find out how much money she has, we need to multiply the number of bills by the value of each bill.

The value of each bill is $5, and Nancy has 9 of them. So, we can calculate the total amount of money she has by multiplying 5 by 9.

$5 * 9 = 45

Therefore, Nancy has $45.

####45"
287,Marcia spent number0 minutes working on her science project . How many hours did Marcia spend on her science project ?,[300],"[/,number0,60.0]",5,"[1,2,3,17,18,19]",Marcia spent number0 minutes working on her science project .,How many hours did Marcia spend on her science project ?,,[],824,"To find the number of hours Marcia spent on her science project, we need to convert the given time in minutes to hours.

We know that there are 60 minutes in 1 hour. 

So, to convert minutes to hours, we divide the number of minutes by 60.

Let's calculate it:

$300 \div 60 = 5$

Marcia spent 5 hours on her science project.

####

5"
289,"Jack has a section filled with short story booklets . If each booklet has number0 pages and there are number1 booklets in the short story section , how many pages will Jack need to go through if he plans to read them all ?","[9,49]","[*,number0,number1]",441,"[13,14,15,18,19,20,40,41,42]","Jack has a section filled with short story booklets . If each booklet has number0 pages and there are number1 booklets in the short story section ,",how many pages will Jack need to go through if he plans to read them all ?,,[],829,"To find the total number of pages Jack will need to go through, we can multiply the number of booklets by the number of pages in each booklet.

Number of booklets = 49
Number of pages in each booklet = 9

Total number of pages = Number of booklets * Number of pages in each booklet

Total number of pages = 49 * 9

Calculating this, we get:

Total number of pages = 441

Therefore, Jack will need to go through 441 pages if he plans to read all the booklets. 

####441"
290,"Tom bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets , how many rides could he go on ?","[40,28,4]","[/,-,number0,number1,number2]",3,"[1,2,3,10,11,12,33,34,35,41,42,43]","Tom bought number0 tickets at the state fair . He spent number1 tickets at the ' dunk a clown ' booth and decided to use the rest on rides . If each ride cost number2 tickets ,",how many rides could he go on ?,,[],830,"Tom bought 40 tickets at the state fair. He spent 28 tickets at the 'dunk a clown' booth and decided to use the rest on rides. 

To find out how many rides he could go on, we need to subtract the number of tickets he spent at the 'dunk a clown' booth from the total number of tickets he bought.

Total number of tickets - Tickets spent at 'dunk a clown' booth = Tickets left for rides

40 - 28 = Tickets left for rides

Now, we can calculate how many rides Tom could go on by dividing the remaining tickets by the number of tickets required for each ride.

Tickets left for rides ÷ Tickets required per ride = Number of rides Tom could go on

(Tickets left for rides) ÷ 4 = Number of rides Tom could go on

(40 - 28) ÷ 4 = Number of rides Tom could go on

12 ÷ 4 = Number of rides Tom could go on

3 = Number of rides Tom could go on

Therefore, Tom could go on 3 rides. 

####"
294,"Sally had number0 baseball cards , and number1 were torn . Sara bought number2 of Sally 's baseball cards . How many baseball cards does Sally have now ?","[39,9,24]","[-,number0,number2]",15,"[1,2,3,6,7,8,12,13,14,25,26,27]","Sally had number0 baseball cards , and number1 were torn . Sara bought number2 of Sally 's baseball cards .",How many baseball cards does Sally have now ?,,[],835,"To find out how many baseball cards Sally has now, we need to subtract the number of torn cards and the number of cards Sara bought from the initial number of cards Sally had.

Sally initially had 39 baseball cards.
Out of these, 9 were torn.
So, the number of good cards Sally had initially is $39 - 9 = 30$.

Sara bought 24 of Sally's baseball cards.
Therefore, the number of good cards Sally has now is $30 - 24 = 6$.

Hence, Sally currently has 6 baseball cards."
