,question,answer
328,Craig has number0 apples . Judy has number1 apples . He shares number2 with Eugene . How many apples will Craig have ?,"Craig starts with 20 apples. He shares 7 apples with Eugene. To find out how many apples Craig will have after sharing, we need to subtract 7 from his initial amount of 20.

20 - 7 = <<20 - 7 = 13>> 13

Therefore, Craig will have 13 apples remaining. 

#### 13"
329,Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza . How many pieces of pizza did they eat ?,"To find out how many pieces of pizza they ate, we need to multiply the number of people by the number of pieces each person ate.

The number of people is given as 37, and each person ate 8 pieces of pizza. So, we can calculate the total number of pieces eaten by multiplying these two numbers together.

 37 * 8 = << 37 * 8 = 296 >> 296 

Therefore, they ate a total of 296 pieces of pizza.

#### 296"
330,"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?","To find the total number of salmon that made the trip, we need to add the number of male salmon and the number of female salmon.

Given:
Number of male salmon = 712261
Number of female salmon = 259378

To find the total number of salmon:
Total = Number of male salmon + Number of female salmon

Substituting the given values:
Total = 712261 + 259378

Calculating the sum:
Total = 971639

Therefore, a total of 971639 salmon made the trip.

#### 971639"
331,There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile . How many apples are there in the pile ?,"Initially, there are 8 apples in the pile on the desk. Each apple comes in a package of 11. 

To find out how many apples are there in the pile after adding 5 more apples, we can add the initial number of apples with the additional apples.

8 + 5 = <<8 + 5 = 13>> 13

Therefore, there are 13 apples in the pile after adding 5 more apples.

#### 13"
332,"Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?","Rachel initially had 10 lives. She lost 4 lives in the hard part of the game. To find out how many lives she would have after losing 4 lives, we subtract 4 from her initial number of lives: 

10 - 4 = <<10 - 4 = 6>> 6

After losing 4 lives, Rachel would have 6 lives remaining. 

In the next level, Rachel gained an additional 26 lives. To find out how many lives she would have after gaining 26 lives, we add 26 to her current number of lives:

6 + 26 = <<6 + 26 = 32>> 32

Therefore, Rachel would have a total of 32 lives after gaining 26 more lives in the next level.

#### 32"
333,Heather has number0 oranges . Russell takes number1 away . How many oranges will Heather have ?,"Heather starts with 60 oranges. Russell takes away 35 oranges from Heather's total.

To find out how many oranges Heather will have after Russell takes some away, we need to subtract the number of oranges taken away from the initial amount.

So, we can calculate it as:

60 - 35 = <<60 - 35 = 25>> 25

Heather will have 25 oranges remaining.

#### 25"
334,"Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?","Vanessa initially had 16 music files and 48 video files on her flash drive, making a total of 16 + 48 = 64 files.
If she deleted 30 of the files, the number of files remaining on her flash drive would be 64 - 30 = 34 files. 

#### 34"
335,Keith grew number0 turnips . Alyssa grew number1 turnips . How many turnips did they grow in all ?,"To find out how many turnips Keith and Alyssa grew in total, we need to add the number of turnips each of them grew.

Keith grew 6 turnips, which can be represented as 6.

Alyssa grew 9 turnips, which can be represented as 9.

To find the total number of turnips they grew, we add these two numbers together:

6 + 9 = <<6 + 9 = 15>> 15

Therefore, Keith and Alyssa grew a total of 15 turnips.

#### 15"
336,"Zoe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?","To find out how much cups of flour Zoe still needs, we need to subtract the number of brownies she baked from the total number of brownies she needed for her party. 

Zoe baked 5 brownies and needed 11 total, so the number of brownies she still needs is given by:

11 - 5 = <<11 - 5 = 6>> 6

Now, since Zoe used 7 cups of flour for each brownie, we can find out how much cups of flour she still needs by multiplying the number of brownies she still needs by the amount of flour used per brownie:

6 * 7 = <<6 * 7 = 42>> 42

Therefore, Zoe still needs 42 cups of flour.

#### 42"
337,Sam has number0 books . Joan has number1 books . How many books do they have together ?,"To find out how many books Sam and Joan have together, we need to add the number of books each of them has.

Sam has 110 books and Joan has 102 books.

To find the total number of books they have together, we can add these two numbers:

110 + 102 = <<110 + 102 = 212>> 212

Therefore, Sam and Joan have a total of 212 books together.
#### 212"
338,Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,"To find the total number of seashells Sam and Mary found together, we need to add the number of seashells each of them found.

Sam found 18 seashells and Mary found 47 seashells.

To find the total, we add these two numbers:

18 + 47 = <<18 + 47 = 65>> 65

Therefore, Sam and Mary found a total of 65 seashells together.

#### 65"
339,Sam had number0 dimes in his bank . His dad gave him number1 dimes . How many dimes does Sam have now ?,"To find out how many dimes Sam has now, we need to add the number of dimes he had initially with the number of dimes his dad gave him.

Sam initially had 9 dimes, and his dad gave him 7 more dimes. 

We can represent this mathematically as:

<<9 + 7>>

Adding these two numbers together, we get:

<<16>>

Therefore, Sam now has 16 dimes.

#### 16"
340,A number is number0 less than the sum of number1 and number2 . What is the number ?,"To solve this problem, we can start by finding the sum of 30 and 29. 

 30 + 29 = << 30 + 29 = 59 >> 59 

Next, we need to subtract 14 from this sum to find the number that is 14 less than the sum.

 59 - 14 = << 59 - 14 = 45 >> 45 

Therefore, the number is 45.

#### 45"
341,Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,"To find the total number of football games Sam went to in all, we need to add the number of games he went to this year and the number of games he went to last year.

The number of games Sam went to this year is given as 14.

The number of games Sam went to last year is given as 29.

To find the total number of games, we can add these two numbers together:

14 + 29 = <<14 + 29 = 43>> 43

Therefore, Sam went to a total of 43 football games. 
#### 43"
342,Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries . How many pounds of fruit did Scarlett use in all ?,"To find the total weight of fruit Scarlett used, we need to add the weight of melon and berries.

The weight of melon is given as 0.25 pounds.
The weight of berries is given as 0.375 pounds.

To find the total weight, we can add these two weights together:

0.25 + 0.375 = <<0.25 + 0.375 = 0.625>> 0.625

Therefore, Scarlett used a total of 0.625 pounds of fruit.

#### 0.625"
343,"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?","To find the total bill, we need to calculate the cost of meals for both adults and children separately, and then add them together.

The number of adults in the group is 2, and each adult meal costs <<3. So the cost of adult meals can be calculated as:

>>3 * 2 = <<6

The number of children in the group is 4, and each child meal also costs >>3. So the cost of children's meals can be calculated as:

3 * 4 = <<3 * 4 = >> 12

To find the total bill, we add the cost of adult meals and children's meals together:

<<6 + >>12 = <<18

Therefore, the bill at Oliver's Restaurant for the group with 2 adults and 4 children would be >>18.

#### 18"
344,There are number0 marbles in each box . How many marbles are in number1 boxes ?,"To find the total number of marbles in 3 boxes, we need to multiply the number of marbles in one box by the number of boxes. 

Given that there are 6 marbles in each box, we can represent this as:

<<6 * 3>>

Multiplying 6 by 3 gives us:

<<18>>

Therefore, there are 18 marbles in 3 boxes.

#### 18"
345,"Joan has number0 blue balloons , Sally has number1 blue balloons , and Jessica has number2 blue balloons . How many blue balloons do they have in total ?","To find the total number of blue balloons, we need to add up the number of blue balloons each person has.

Joan has 9 blue balloons.
Sally has 5 blue balloons.
Jessica has 2 blue balloons.

To find the total, we can add these numbers together:

9 + 5 + 2 = <<9 + 5 + 2 = 16>> 16

Therefore, they have a total of 16 blue balloons in total.

#### 16"
346,Jacqueline has number0 boxes of erasers . Each box holds number1 erasers and there are number2 boxes in a case . How many erasers does Jacqueline have ?,"Jacqueline has 4 boxes of erasers, and each box holds 10 erasers. To find out how many erasers Jacqueline has in total, we need to multiply the number of boxes by the number of erasers in each box.

Number of boxes = 4
Number of erasers in each box = 10

To find the total number of erasers, we can multiply the number of boxes by the number of erasers in each box:

Total number of erasers = Number of boxes * Number of erasers in each box
                      = 4 * 10
                      = 40

Therefore, Jacqueline has a total of 40 erasers.

#### 40"
347,Benny bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Benny buy ?,"To find out how many eggs Benny bought, we need to determine the total number of eggs in 7 dozen. 

One dozen is equal to 12, so we can calculate the total number of eggs by multiplying 7 by 12.

 7 * 12 = << 7 * 12 = 84 >> 84 

Therefore, Benny bought 84 eggs.

#### 84"
348,"Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?","To find the number of bad carrots, we need to subtract the number of good carrots from the total number of carrots picked.

Vanessa picked 17 carrots and her mother picked 14 carrots, so the total number of carrots picked is 17 + 14 = <<17 + 14 = 31>> 31.

If only 24 of the carrots were good, then the remaining carrots must be bad. Therefore, we subtract the number of good carrots (24) from the total number of carrots picked (31) to find the number of bad carrots.

31 - 24 = <<31 - 24 = 7>> 7

Therefore, Vanessa and her mom had 7 bad carrots.

#### 7"
349,Brenda starts with number0 Skittles . She buys number1 more . How many Skittles does Brenda end with ?,"Brenda starts with 7 Skittles. She buys 8 more.

To find out how many Skittles Brenda ends with, we can add the number of Skittles she starts with to the number of Skittles she buys.

Starting with 7 Skittles, Brenda buys 8 more. 

So, the total number of Skittles Brenda ends with can be calculated as:

7 + 8 = <<7 + 8 = 15>> 15

Therefore, Brenda ends with 15 Skittles.

#### 15"
350,Juan ran number0 miles at number1 miles per hour . How long did Juan run ?,"To find out how long Juan ran, we can use the formula:

Time = Distance / Speed

Given that Juan ran 80 miles at a speed of 10 miles per hour, we can substitute these values into the formula:

Time = 80 miles / 10 miles per hour

Simplifying this expression, we have:

Time = 8 hours

Therefore, Juan ran for 8 hours.

#### 8"
351,"April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left , how much money did she earn ?","To find out how much money April earned, we need to calculate the total cost of the roses she sold.

First, let's determine how many roses April sold. We can subtract the number of roses she had left from the number she started with:

 11 - 8 = << 11 - 8 = 3 >> 3 

April sold 3 roses.

Next, we need to calculate the total cost of these 3 roses. Since each rose was priced at <<9, we can multiply the price per rose by the number of roses sold:

>> 9 * 3 = 27 <<

Therefore, April earned >>27 from selling the roses.

#### 27"
352,Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Emily have ?,"To find the number of small gardens Emily had, we need to determine how many seeds she planted in the small gardens and then divide that number by 4 (since each small garden received 4 seeds).

Emily planted a total of 29 seeds in the big garden. To find out how many seeds were planted in the small gardens, we subtract this number from the total number of seeds she started with: 

41 - 29 = <<41 - 29 = 12>> 12

So, Emily planted 12 seeds in the small gardens. 

To find out how many small gardens she had, we divide this number by 4:

12 / 4 = <<12 / 4 = 3>> 3

Therefore, Emily had 3 small gardens.

#### 3"
353,Charles has number0 Skittles . Diana takes number1 away . How many Skittles will Charles have ?,"To find out how many Skittles Charles will have after Diana takes 7 away, we need to subtract 7 from the initial number of Skittles Charles has.

Let's represent the initial number of Skittles Charles has as C>> and the number of Skittles Diana takes away as <<D>>. In this case, <<C = <<C>> and the number of Skittles Diana takes away as <<D>>. In this case, <<C = 25>> 25 and D = <<D = 7>> 7.

To find out how many Skittles Charles will have after Diana takes 7 away, we can subtract <<D>> from <<C>>:

C - D = <<C - D = 25 - 7>> 25 - 7

Now we can calculate the result:

25 - 7 = <<25 - 7 = 18>> 18

Therefore, Charles will have 18 Skittles after Diana takes 7 away.

#### 18"
354,"Megan was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?","To find out how much money Megan earned, we need to calculate the total cost of all the necklaces she sold.

First, let's calculate the cost of the bead necklaces. Megan sold 7 bead necklaces, and each necklace costs 9. So the total cost of the bead necklaces is >>7 * <<9 = <<9. So the total cost of the bead necklaces is >>7 * <<9 = >> 63.

Next, let's calculate the cost of the gemstone necklaces. Megan sold 3 gemstone necklaces, and each necklace also costs 9. So the total cost of the gemstone necklaces is >>3 * <<9 = <<9. So the total cost of the gemstone necklaces is >>3 * <<9 = >> 27.

To find out how much money Megan earned in total, we need to add the cost of the bead necklaces and the cost of the gemstone necklaces. 

<<63 + >>27 = <<90

Therefore, Megan earned a total of >>90 at the garage sale.

#### 90"
355,Mrs. Franklin had number0 Valentines . Mrs. Franklin gave some to her students . Now she has number1 . How many Valentines did Mrs. Franklin give to her students ?,"Let's assume that Mrs. Franklin gave x Valentines to her students.

Initially, Mrs. Franklin had 58 Valentines.
After giving some to her students, she now has 16 Valentines.

We can represent this situation with the equation:
58 - x = 16

To find the value of x, we need to solve this equation for x.

Subtracting 16 from both sides of the equation:
58 - x - 16 = 16 - 16
42 - x = 0

To isolate x, we subtract 42 from both sides of the equation:
42 - x - 42 = 0 - 42
-x = -42

Multiplying both sides of the equation by -1 to solve for x:
(-1)(-x) = (-1)(-42)
x = 42

Therefore, Mrs. Franklin gave 42 Valentines to her students.

#### 42"
356,Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza . How many pieces of pizza did they eat ?,"To find out how many pieces of pizza they ate, we need to multiply the number of people by the number of pieces each person ate.

The number of people is given as 37, and each person ate 8 pieces of pizza. So, we can calculate the total number of pieces eaten by multiplying these two numbers together.

 37 * 8 = << 37 * 8 = 296 >> 296 

Therefore, they ate a total of 296 pieces of pizza.

#### 296"
357,There are number0 crayons and number1 pencils in the drawer . Sam placed number2 crayons in the drawer . How many crayons are now there in total ?,"To find the total number of crayons in the drawer after Sam placed 12 crayons, we need to add the initial number of crayons (41) with the number of crayons Sam placed (12).

 41 + 12 = << 41 + 12 = 53 >> 53 

Therefore, there are now 53 crayons in total in the drawer.

#### 53"
358,Jennifer starts with number0 apples . She finds another number1 . How many apples does Jennifer end with ?,"Jennifer starts with 7 apples. She finds another 74.

To find out how many apples Jennifer ends with, we need to add the number of apples she starts with to the number of apples she finds.

Starting with 7 apples: <<7>>

Finding another 74 apples: <<+74>>

To find the total number of apples Jennifer ends with, we add these two quantities together:

7 + 74 = <<7 + 74 = 81>> 81

Therefore, Jennifer ends with 81 apples.

#### 81"
359,"In Mr. Olsen 's mathematics class , number0 the students received A 's and number1 received B 's . What fraction of the students received either A 's or B 's ?","To find the fraction of students who received either A's or B's, we need to add the fractions of students who received A's and B's.

Given that 0.7 of the students received A's and 0.2 received B's, we can add these fractions together:

0.7 + 0.2 = <<0.7 + 0.2 = 0.9>> 0.9

Therefore, 0.9 is the fraction of students who received either A's or B's.

#### 0.9"
360,"There were number0 pieces of candy in a jar . If number1 pieces were red and the rest were blue , how many were blue ?","To find the number of blue candies in the jar, we need to subtract the number of red candies from the total number of candies.

Total number of candies = 3409
Number of red candies = 145

To find the number of blue candies:
Blue candies = Total candies - Red candies

Substituting the given values:
Blue candies = 3409 - 145

Performing the subtraction:
Blue candies = 3264

Therefore, there were 3264 blue candies in the jar.

#### 3264"
361,Jason grew number0 watermelons and number1 cantelopes . Dan grew number2 watermelons . How many watermelons did they grow in total ?,"To find the total number of watermelons that Jason and Dan grew, we need to add the number of watermelons each of them grew.

Jason grew 32 watermelons and Dan grew 31 watermelons. 

So, the total number of watermelons they grew is <<32 + 31>>.

Calculating this, we get:

32 + 31 = <<32 + 31 = 63>> 63

Therefore, Jason and Dan grew a total of 63 watermelons.

#### 63"
362,A marine biologist measured number0 fish that was number1 foot long and a second fish that was number2 foot long . How much longer was the first fish ?,"To find out how much longer the first fish is compared to the second fish, we need to subtract the length of the second fish from the length of the first fish.

Let's denote the length of the first fish as <<L_1>> and the length of the second fish as <<L_2>>. 

Given that the length of the first fish is 0.3 foot and the length of the second fish is 0.2 foot, we can set up the equation:

L_1 - L_2 = <<L_1 - L_2 = 0.3 - 0.2>> 0.3 - 0.2

Simplifying this equation, we have:

L_1 - L_2 = <<L_1 - L_2 = 0.1>> 0.1

Therefore, the first fish is 0.1 foot longer than the second fish.

#### 0.1"
363,A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,"To find out how many cats the pet store has left, we need to subtract the number of cats sold from the total number of cats they had initially.

The pet store had 19 Siamese cats and 45 house cats, so the total number of cats they had initially is:

19 + 45 = <<19 + 45 = 64>> 64

During the sale, they sold 56 cats. To find out how many cats they have left, we subtract this number from the initial total:

64 - 56 = <<64 - 56 = 8>> 8

Therefore, the pet store has 8 cats left.

#### 8"
364,"Sam found number0 seashells on the beach , he gave Joan number1 of the seashells . How many seashells does he now have ?","To find out how many seashells Sam now has, we need to subtract the number of seashells he gave to Joan from the total number of seashells he found.

Total number of seashells Sam found = 35
Number of seashells Sam gave to Joan = 18

To find how many seashells Sam now has, we can subtract the number of seashells he gave to Joan from the total number of seashells he found:

35 - 18 = <<35 - 18 = 17>> 17

Therefore, Sam now has 17 seashells.

#### 17"
365,Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,"To find the total number of pears picked by Sara and Tim, we need to add the number of pears each of them picked.

Sara picked 6 pears and Tim picked 5 pears. 

To find the total, we can add these two numbers together:

6 + 5 = <<6 + 5 = 11>> 11

Therefore, a total of 11 pears were picked in total.

#### 11"
366,"While on vacation , Haley took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?","Haley took 50 pictures at the zoo and 8 pictures at the museum, so she initially had a total of 50 + 8 = 58 pictures.
If she later deleted 38 of the pictures, we need to subtract this number from the initial total to find out how many pictures she still has.
Therefore, Haley still has 58 - 38 = 20 pictures from her vacation. 

#### 20"
367,"Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Adam have ?","Adam initially had 48 books. He sold 19 of them, so he would have 48 - 19 books left. 

To find out how many books Adam has after selling, we subtract the number of books sold from the initial number of books: 

 48 - 19 = << 48 - 19 = 29 >> 29  

After selling the books, Adam used the money he earned to buy 38 new books. To determine the total number of books Adam would have, we add the number of books he had after selling to the number of new books he bought: 

 29 + 38 = << 29 + 38 = 67 >> 67  

Therefore, Adam would have a total of 67 books. 

#### 67"
368,Sally grew number0 carrots . Fred grew number1 carrots . How many carrots did they grow in all ?,"To find out how many carrots Sally and Fred grew in total, we need to add the number of carrots each of them grew.

Sally grew 6 carrots, and Fred grew 4 carrots. 

To find the total number of carrots they grew, we can add these two numbers together:

6 + 4 = <<6 + 4 = 10>> 10

Therefore, Sally and Fred grew a total of 10 carrots.

#### 10"
369,"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?","To find out how many extra apples the cafeteria ended up with, we need to subtract the number of students who wanted fruit from the total number of apples ordered.

The cafeteria ordered 8 red apples and 43 green apples, so the total number of apples ordered is 8 + 43 = <<8 + 43 = 51>> 51.

However, only 42 students wanted fruit. To find out how many extra apples there are, we subtract the number of students who wanted fruit from the total number of apples ordered: 51 - 42 = <<51 - 42 = 9>> 9.

Therefore, the cafeteria ended up with 9 extra apples.

#### 9"
370,"At a pizza party , Mason and his friends drank number0 bottles of lemon - lime soda and number1 bottles of cola . How much soda did they drink in all ?","To find out how much soda Mason and his friends drank in total, we need to add the amount of lemon-lime soda and cola they consumed.

Given that they drank 2.6666666666666665 bottles of lemon-lime soda and 2.6666666666666665 bottles of cola, we can add these quantities together:

2.6666666666666665 + 2.6666666666666665 = <<2.6666666666666665 + 2.6666666666666665 = 5.333333333333333>> 5.333333333333333

Therefore, Mason and his friends drank a total of 5.333333333333333 bottles of soda.

#### 5.333333333333333"
371,"If Teresa jogged number0 kilometers at number1 kilometers per hour , how long was Teresa jogging ?","To find out how long Teresa was jogging, we can use the formula:

Time = Distance / Speed

Given that Teresa jogged 25 kilometers at a speed of 5 kilometers per hour, we can substitute these values into the formula:

Time = 25 km / 5 km/h

Simplifying this expression, we have:

Time = 5 hours

Therefore, Teresa was jogging for 5 hours.

#### 5"
372,"Zoe had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?","Zoe initially had 15 songs on her mp3 player. She then deleted 8 old songs, which means she subtracted 8 from the initial number of songs: 15 - 8 = <<15 - 8 = 7>> 7.

After deleting the old songs, Zoe added 50 new songs to her mp3 player. This means she added 50 to the current number of songs: 7 + 50 = <<7 + 50 = 57>> 57.

Therefore, Zoe now has a total of 57 songs on her mp3 player.

#### 57"
373,"If there are number0 eggs in a box and Daniel puts number1 more eggs inside , how many eggs are in the box ?","To solve this problem, we can start with the initial number of eggs in the box, which is 7. Then, we add the additional eggs that Daniel puts inside, which is 4. 

So, to find the total number of eggs in the box after Daniel puts more eggs inside, we can add these two quantities together:

 7 + 4 = << 7 + 4 = 11 >> 11 

Therefore, there are 11 eggs in the box after Daniel puts 4 more eggs inside.

#### 11"
374,"Will bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Will still have ?","Will bought 7 boxes of chocolate candy. Each box has 4 pieces inside it. So, the total number of pieces Will initially had is 7 * 4 = <<7 * 4 = 28>> 28.

Will gave 3 boxes to his little brother. Each box had 4 pieces inside it. So, the total number of pieces Will gave to his little brother is 3 * 4 = <<3 * 4 = 12>> 12.

To find out how many pieces Will still has, we need to subtract the number of pieces he gave to his little brother from the total number of pieces he initially had.

Therefore, Will still has 28 - 12 = <<28 - 12 = 16>> 16 pieces of chocolate candy.

#### 16"
375,Joan found number0 seashells and Jessica found number1 seashells on the beach . How many seashells did they find together ?,"To find the total number of seashells that Joan and Jessica found together, we need to add the number of seashells each of them found.

Joan found 6 seashells, which can be represented as 6.
Jessica found 8 seashells, which can be represented as 8.

To find the total number of seashells they found together, we add these two numbers:

 6 + 8 = << 6 + 8 = 14 >> 14 

Therefore, Joan and Jessica found a total of 14 seashells together.
#### 14"
376,"John was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?","To find out how many good games John ended up with, we need to subtract the number of games that didn't work from the total number of games he bought.

John bought 21 games from a friend and 8 more at a garage sale, so the total number of games he bought is:

21 + 8 = <<21 + 8 = 29>> 29

Out of these 29 games, 23 didn't work. To find the number of good games, we subtract the number of games that didn't work from the total number of games:

29 - 23 = <<29 - 23 = 6>> 6

Therefore, John ended up with 6 good games.

#### 6"
377,"While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?","To find out how many pictures Gwen still has from her vacation, we need to subtract the number of pictures she deleted from the total number of pictures she took.

First, let's calculate the total number of pictures Gwen took on her vacation by adding the number of pictures she took at the zoo and the museum:

 41 + 29 = << 41 + 29 = 70 >> 70 

So, Gwen took a total of 70 pictures on her vacation.

Next, we need to subtract the number of pictures she deleted:

 70 - 15 = << 70 - 15 = 55 >> 55 

Therefore, Gwen still has 55 pictures from her vacation.

#### 55"
378,"Chloe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?","To find out how much cups of flour Chloe still needs, we need to subtract the number of brownies she baked from the total number of brownies she needed for her party. 

Chloe baked 7 brownies and needed 16 in total, so the number of brownies she still needs is given by:

16 - 7 = <<16 - 7 = 9>> 9

Now, since Chloe used 6 cups of flour for each brownie, we can find out how much cups of flour she still needs by multiplying the number of brownies she still needs by the amount of flour used per brownie:

9 * 6 = <<9 * 6 = 54>> 54

Therefore, Chloe still needs 54 cups of flour.

#### 54"
379,Nancy uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums . How many pictures were in each album ?,"To solve this problem, we need to understand the distribution of the pictures. 

First, we know that Nancy uploaded a total of 51 pictures. She put 11 pictures into one album. 

This leaves us with 51 - 11 = 40 pictures. 

We also know that she put the remaining pictures into 8 different albums. 

Since there are 8 albums, we can distribute the remaining 40 pictures evenly among them. 

So, each album would contain 40 / 8 = 5 pictures. 

Therefore, each album has 5 pictures.

#### 5"
380,John walks number0 miles to school and Nina walks number1 miles to school . How much farther does John walk than Nina ?,"To find out how much farther John walks than Nina, we need to subtract the distance Nina walks from the distance John walks.

John walks 0.7 miles and Nina walks 0.4 miles.

So, the difference in their distances can be calculated as:

0.7 - 0.4 = <<0.7 - 0.4 = 0.3>> 0.3

Therefore, John walks 0.3 miles farther than Nina.

#### 0.3"
381,"Wendy was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?","Wendy started with 43 lives. She then lost 8 lives. To find out how many lives she has after losing these 8 lives, we can use the following calculation:

 43 - 8 = << 43 - 8 = 35 >> 35 

Next, Wendy gained 39 more lives. To find out how many lives she has after gaining these 39 lives, we can use the following calculation:

 35 + 39 = << 35 + 39 = 74 >> 74 

So, Wendy would have 74 lives after she loses 8 lives and gains 39 more lives.

#### 74"
382,"For Halloween Katie and her sister combined the candy they received . Katie had number0 pieces of candy while her sister had number1 . If they ate number2 pieces the first night , how many pieces do they have left ?","To find out how many pieces of candy Katie and her sister have left, we need to subtract the number of pieces they ate from the total number of pieces they had.

Katie had 10 pieces of candy, and her sister had 6 pieces. So, the total number of pieces they had is 10 + 6 = <<10 + 6 = 16>> 16.

They ate 9 pieces on the first night. To find out how many pieces they have left, we subtract 9 from the total number of pieces they had: 16 - 9 = <<16 - 9 = 7>> 7.

Therefore, Katie and her sister have 7 pieces of candy left.

#### 7"
383,There are number0 rulers in the drawer . Tim took number1 rulers from the drawer . How many rulers are now in the drawer ?,"To find the number of rulers remaining in the drawer after Tim took 25 rulers, we can subtract 25 from the initial number of rulers in the drawer, which is 46.

Number of rulers remaining = Initial number of rulers - Number of rulers taken by Tim

Number of rulers remaining = 46 - 25

Calculating this expression:

 46 - 25 = << 46 - 25 = 21 >> 21 

Therefore, there are now 21 rulers remaining in the drawer.

#### 21"
384,"Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , she went to a second concert , which had number1 more people in attendance . How many people were at the second concert ?","Let's solve the problem step by step:

1. We know that a total of 65899 people attended the first concert.
2. The second concert had 119 more people in attendance than the first concert.
3. To find out how many people were at the second concert, we need to add 119 to the number of people at the first concert.

So, the calculation is: 65899 + 119 = <<65899 + 119 = 66018>> 66018

Therefore, there were 66018 people at the second concert.

#### 66018"
385,Sam has number0 books . Joan has number1 books . How many books do they have together ?,"To find out how many books Sam and Joan have together, we need to add the number of books each of them has.

Sam has 110 books and Joan has 102 books.

To find the total number of books they have together, we can add these two numbers:

110 + 102 = <<110 + 102 = 212>> 212

Therefore, Sam and Joan have a total of 212 books together.
#### 212"
386,There are number0 apples in a box . Louise has number1 apples in a bag . Scott takes number2 apples out of the box . How many apples are left in the box ?,"Initially, there are 77 apples in the box. Scott takes 75 apples out of the box. To find out how many apples are left in the box, we can subtract the number of apples Scott took from the initial number of apples in the box.

 77 - 75 = << 77 - 75 = 2 >> 2 

Therefore, there are 2 apples left in the box.

#### 2"
387,Jason has number0 violet balloons and number1 red balloons . He lost number2 of the violet balloons . How many violet balloons does Jason have now ?,"The problem states that Jason had 7 violet balloons and he lost 3 of them. To find out how many violet balloons Jason has now, we need to subtract the number of balloons he lost from the total number of balloons he had.

Here's the step-by-step reasoning:

1. Jason initially had 7 violet balloons.
2. He lost 3 of them.

To find out how many balloons he has now, we subtract the number of balloons he lost from the total number of balloons he had:

 7 - 3 = << 7 - 3 = 4 >> 4 

So, Jason has 4 violet balloons now.

#### 4"
388,John weighs number0 pounds . Roy weighs number1 pounds . How much heavier is John than Roy ?,"To solve the problem, we need to find the difference in weight between John and Roy. In mathematical terms, this is represented as:

<<John - Roy>>

Given that John weighs 81 pounds and Roy weighs 4 pounds, we can substitute these values into the equation:

<<81 - 4>>

By performing the subtraction, we find that John weighs 77 pounds more than Roy. Therefore, John is 77 pounds heavier than Roy.

#### 77"
389,There are number0 oranges . number1 oranges more are added . How many are there total ?,"To find the total number of oranges after adding 8 more, we need to add the initial number of oranges (8) to the additional 8 oranges.

So, the calculation is:

 8 + 8 = << 8 + 8 = 16 >> 16 

Therefore, there are a total of 16 oranges.

#### 16"
